"CustomerID","total_orders","total_revenue","avg_order_value","purchase_frequency_per_year","estimated_CLV"
12346,12,77556.46,6463.03833333333,5.9390243902439,115152.426890244
12347,8,5633.32,704.165,3.95934959349593,8364.10621951219
12348,5,2019.4,403.88,2.47459349593496,2998.31646341463
12349,4,4428.69,1107.1725,1.97967479674797,6575.52448170732
12350,1,334.4,334.4,0.494918699186992,496.50243902439
12351,1,300.93,300.93,0.494918699186992,446.807652439024
12352,10,2849.84,284.984,4.94918699186992,4231.31731707317
12353,2,406.76,203.38,0.989837398373984,603.939390243902
12354,1,1079.4,1079.4,0.494918699186992,1602.64573170732
12355,2,947.61,473.805,0.989837398373984,1406.96972560976
12356,6,6373.68,1062.28,2.96951219512195,9463.36024390244
12357,3,18287.66,6095.88666666667,1.48475609756098,27152.7146951219
12358,5,3887.07,777.414,2.47459349593496,5771.35088414634
12359,10,8935.94,893.594,4.94918699186992,13267.691402439
12360,8,4252.89,531.61125,3.95934959349593,6314.5043597561
12361,4,511.25,127.8125,1.97967479674797,759.081554878049
12362,11,5356.23,486.93,5.44410569105691,7952.69515243902
12363,2,552,276,0.989837398373984,819.585365853658
12364,4,1313.1,328.275,1.97967479674797,1949.63323170732
12365,2,641.38,320.69,0.989837398373984,952.292865853658
12366,1,500.24,500.24,0.494918699186992,742.734390243902
12367,1,168.9,168.9,0.494918699186992,250.775304878049
12368,1,917.7,917.7,0.494918699186992,1362.56067073171
12369,3,1791.15,597.05,1.48475609756098,2659.42088414634
12370,7,4320.31,617.187142857143,3.46443089430894,6414.60661585366
12371,5,4067.38,813.476,2.47459349593496,6039.06725609756
12372,3,1298.04,432.68,1.48475609756098,1927.27280487805
12373,3,1127.65,375.883333333333,1.48475609756098,1674.28521341463
12374,4,2989.22,747.305,1.97967479674797,4438.26262195122
12375,2,457.5,228.75,0.989837398373984,679.275914634146
12376,2,503.15,251.575,0.989837398373984,747.055030487805
12377,4,3426.32,856.58,1.97967479674797,5087.24951219512
12378,2,5416.32,2708.16,0.989837398373984,8041.91414634146
12379,4,1620.22,405.055,1.97967479674797,2405.63152439024
12380,11,9676.3,879.663636363636,5.44410569105691,14366.9454268293
12381,5,1845.31,369.062,2.47459349593496,2739.83527439024
12383,5,1850.56,370.112,2.47459349593496,2747.63024390244
12384,2,585.27,292.635,0.989837398373984,868.983201219512
12385,1,1938.4,1938.4,0.494918699186992,2878.05121951219
12386,2,660.8,330.4,0.989837398373984,981.126829268293
12387,1,143.94,143.94,0.494918699186992,213.715792682927
12388,8,3901.11,487.63875,3.95934959349593,5792.1968597561
12389,3,1433.33,477.776666666667,1.48475609756098,2128.14545731707
12390,1,549.84,549.84,0.494918699186992,816.378292682927
12391,6,2773.42,462.236666666667,2.96951219512195,4117.85225609756
12392,1,234.75,234.75,0.494918699186992,348.546493902439
